`,holderstaffflag,policyriskcommencementdate,policytechnicalid_m,holdertechnicalid_m,contactcity_m,contactareatype_m,policy_annualized_premium,contactpostcode_m,policybenefitterm,policynumber_m,agentownlifeflag,channeltype_m,contactstate_m,banktechnicalid_m,channeltechnicalid_m,serviceregionnameops_m,edc,requirementnonmedicalflag,underwritingdecisionstatus_m,policytype_m,productplan,um_bdm_code_m,premiumpaymentfrequency_m,servicebranchops_m,policytypesub_m,policy_sum_assured,hniflag,underwritingexpressflag,vedc,productid_m,requirementmedicalflag,nomineerelation_m,holdermaritalstatus,holdereducation,holdercountry_m,beneficiaryrelation_m,lifeassuredrelation_m,lifeassuredgender_m,natureofduties,holdernationalite,holderqualification,gogreenflag,preferredlanguage_m,holder_annual_income,panverified,holderoccupation,premiumpaymentfrequency
2535,No,4/2/21,c4f685be10,f95eb52026,debb51,58,50000,801462,10,af4c536e55,N,331f,acb844,7e495a,463217933f,c586,0,1,a48c,c4e8,Series 3,9742379,738a,37c634,c4e8,62500,N,0,0,4caa,0,3d,widowed,Intermediate (10+2),INDIA,a9,a9,9c,HOSPITAL CLEANER,,HSC,N,HINDI,150000,N,Service,Single
2536,No,27/2/21,4a56e243da,a0f47866b9,2c8351,58,38347,844559,29,04d6f63232,N,286,aedf2f,519fd5,c383866f58,c586,0,1,edce,2ed4,Level Term Assurance - Series 6,5,d4cd,5d949d,5743,5000000,N,0,0,8fe6,1,1f,Married,Graduate,INDIA,a9,a9,aa,BUSINESS,,Graduate,N,HINDI,495720,N,Business,Yearly
2537,No,13/2/21,e65c773226,9962eae2da,88cae7,58,6805.3,808778,15,202492b66c,N,e62e,acb844,e6c203,fac3a1268b,c586,0,1,edce,2ed4,Series 3,9740359,d4cd,4a3ec2,5743,2400000,N,0,0,b7e7,0,1b,Married,Graduate,INDIA,a9,a9,9c,TEACHER,,Graduate,N,ENGLISH,480000,N,Service,Yearly
2538,No,11/1/21,93c66ac597,47f8b116cf,0ff3a2,58,100000,247559,10,ff9d174a56,N,e62e,766048,4e6299,06e620b01b,047e,0,1,a48c,c4e8,Series 2,9995147,d4cd,81c842,c4e8,0,N,0,0,2734,0,1f,Married,Graduate,INDIA,a9,a9,aa,RETIRED,,Graduate,N,GUJARATI,1020000,N,Retired,Yearly
2539,No,12/1/21,4af7c3f3b5,6215e06354,c20544,58,100000,252956,10,92cf9c2526,N,e62e,f114ce,11c637,0cd1bd417b,eca2,0,1,edce,c4e8,Series 2,9744701,d4cd,f6e22c,c4e8,0,N,0,0,2734,0,1f,Married,Graduate,INDIA,a9,a9,aa,RETIRED,,Graduate,N,HINDI,480000,N,Retired,Yearly
2540,No,12/1/21,dd87b42c5a,f45371af33,df4b22,58,100000,145546,30,4259ffdbdb,N,e62e,a89ee5,90c079,e549f924f5,c586,0,1,edce,c4e8,Series 2,9575570,d4cd,b7e9a7,c4e8,0,N,0,0,2734,0,,Married,Graduate,INDIA,,a9,9c,SENIOR SYSTEM ANALYST,,Graduate,N,HINDI,600000,N,Service,Yearly
2541,No,11/1/21,c0ad459766,35dd16f1f0,740910,2483,50000,804772,10,fd51006c70,N,331f,acb844,7e495a,82f30722e7,c586,0,0,a48c,c4e8,Series 2,95025854,bf55,37c634,c4e8,0,N,0,0,2734,0,1f,Married,Graduate,INDIA,a9,a9,aa,KANSTEBAL,,Graduate,N,HINDI,720000,N,Service,Half yearly
2542,No,4/2/21,e0360db802,b18bcf41da,86c8be,58,30000,175558,12,4b82f6e16c,N,e62e,b629fd,5cd88e,a7224c851c,b629,0,0,a48c,c4e8,Series 2,5321606,d4cd,2864ab,c4e8,300000,N,0,0,efc5,0,12,Single,Graduate,INDIA,a9,a9,9c,WARD WOMEN WELFARE SECRETARY,,Graduate,N,TELGU,360000,N,Service,Yearly
2543,No,5/2/21,f706e46424,aafa0e5063,f719ce,58,50000,788559,12,448e42fead,N,e62e,b78361,32a6ff,17b9b38cfc,f7b0,0,1,edce,c4e8,Series 2,5615725,d4cd,ecb8c7,c4e8,500000,N,0,0,efc5,0,,Single,Graduate,INDIA,a9,a9,aa,H R DEPARTMENT,,Graduate,N,HINDI,300000,N,Service,Yearly
2544,No,8/2/21,35a613b3ce,69530a3954,324b21,2483,26490.94,122797,12,f08664f164,N,e62e,b629fd,ac7971,964aaa93d4,b629,0,0,a48c,803,Series 3,9551373,d4cd,d37e51,803,170000,N,0,0,5876,0,,Married,Graduate,INDIA,a9,a9,9c,GOVT TEACHER,,Graduate,N,TELGU,600000,N,Service,Yearly
2545,No,5/2/21,62d614c139,af7db8f300,ff304c,2483,23466.38,734758,10,e201543fae,N,e62e,b78361,83f91a,6a69e78a88,f7b0,0,0,a48c,2ed4,Series 2,5642865,d4cd,c9c5ae,5743,400000,N,0,0,81db,0,46,Married,PG / Professional,INDIA,a9,a9,aa,TEACHING,,Post Graduate,N,HINDI,756000,N,Service,Yearly
2546,No,8/2/21,eae624b9fe,d43e9b22b3,c20544,58,8767.94,257522,10,8893b8ab27,N,e62e,f114ce,f7b290,4f12809798,eca2,0,1,edce,2ed4,Series 2,9943429,d4cd,f6e22c,5743,500000,N,0,0,81db,0,fc,Married,Graduate,INDIA,a9,a9,aa,TRD,,Graduate,N,ENGLISH,500000,N,Service,Yearly
2547,No,4/2/21,908a0c230f,5088f30c10,184985,58,13555.28,265556,10,503eb5ddc5,N,e62e,766048,0a8bd5,ed7f3255f4,047e,0,0,a48c,2ed4,Series 2,5640874,d4cd,00d602,5743,900000,N,0,0,81db,0,46,Single,Graduate,INDIA,a9,a9,aa,ENGG BRIDGE  DEP HED,,Graduate,N,ENGLISH,580000,N,Service,Yearly
2548,No,15/2/21,11f61d32cf,cab74d5274,184985,58,16122.36,267215,20,ac78dd3695,N,331f,766048,7e495a,ca69c2d715,047e,0,1,edce,2ed4,Level Term Assurance - Series 6,5827045,124d,8ea8fc,5743,2500000,N,0,0,8fe6,1,1f,Married,Graduate,INDIA,a9,a9,aa,PROPRIETOR,,Graduate,N,GUJARATI,400000,N,Business,Quarterly
2549,No,11/2/21,0ad418f030,90fdd186b8,5b58d5,,50000,248795,12,9b6a4df1e7,N,e62e,766048,2dbaa8,6bb948f7e6,047e,0,1,edce,c4e8,Series 2,9996109,d4cd,81c842,c4e8,500000,N,0,0,efc5,0,1f,Married,Graduate,INDIA,a9,a9,aa,ARAM GUARD,,Graduate,N,GUJARATI,600000,N,Service,Yearly
2550,No,5/2/21,b03b027c39,ab43635c43,324b21,2483,24607.48,122853,12,c9f727a488,N,e62e,b629fd,117aee,405671c961,b629,0,0,edce,803,Series 3,9500677,d4cd,d37e51,803,150000,N,0,0,5876,0,1f,Married,Graduate,INDIA,a9,a9,aa,TEACHER,,Graduate,N,TELGU,636000,N,Service,Yearly
2551,No,5/2/21,8833ab4135,b07f2dcb8e,ce62bd,58,8062.42,289175,10,514d1e5cc5,N,e62e,f114ce,40326d,60a8dcbb10,eca2,0,0,edce,2ed4,Series 2,9990921,d4cd,9709ef,5743,500000,N,0,0,81db,0,1f,Married,Intermediate (10+2),INDIA,a9,a9,aa,GROUND DUTY,,HSC,N,ENGLISH,540000,N,BSF,Yearly
2552,No,10/2/21,bd78ea2cd6,f4f1afef16,ea2314,2483,97137.5,797759,15,4be56714fd,N,e62e,b78361,3d2598,af618ec198,f7b0,0,1,edce,2ed4,Series 3,9998720,d4cd,8a5830,803,798000,N,0,0,56ca,0,12,Single,Graduate,INDIA,a9,a9,aa,BUSINESS,,Graduate,N,ENGLISH,360000,N,Business,Yearly
2553,No,9/2/21,15053cd808,6220af576a,e6fd39,58,2077.98,834223,15,097a9455a1,N,331f,aedf2f,7e495a,70588f8009,c586,0,0,edce,2ed4,Series 3,9987020,d4cd,097f65,5743,1000000,Y,0,0,e636,0,fc,Married,Graduate,INDIA,a9,a9,9c,OWNER,,Graduate,N,HINDI,816000,N,Business,Yearly
2554,No,9/2/21,7022bda4d2,becd6bbfbe,71eba0,2483,15000,839191,10,f8e6c52475,N,e62e,aedf2f,d7b1fe,dde09274d3,c586,0,0,a48c,c4e8,Plan T - Series 2,5339812,d4cd,0ad84d,c4e8,,N,0,0,e548,0,46,Married,School (upto 10th),INDIA,a9,a9,aa,AGRICULTURIST,,SSC,N,HINDI,240000,N,Agriculturist,Yearly
2555,No,18/2/21,19c33d2541,01eb123aa6,c3b50e,58,50000,245105,16,3084add18f,N,e62e,766048,c7fddc,6df40581e6,047e,0,1,a48c,c4e8,Series 3,9273756,d4cd,81c842,c4e8,500000,N,0,0,d2a9,0,c7,Married,Intermediate (10+2),INDIA,a9,a9,aa,AGRICULTURIST,,HSC,N,GUJARATI,400000,N,Agriculturist,Yearly
2556,No,20/2/21,6dbab525e3,e9b8ea91a4,71eba0,2483,5000,839171,10,c2c91922a5,,331f,aedf2f,7e495a,62dafae5d8,c586,0,1,edce,2ed4,Series 2,5756270,d4cd,c8a19d,5743,250000,N,0,0,b68b,0,1b,Married,Intermediate (10+2),INDIA,a9,a9,9c,,,HSC,N,HINDI,240000,N,Agriculturist,Yearly
2557,No,2/2/21,347f571be0,f4672dd103,ea2314,58,500000,799595,10,62c61133fc,N,e62e,b78361,424380,1847967d27,f7b0,0,1,edce,c4e8,Series 3,5619920,738a,79a06f,c4e8,625000,Y,0,0,4caa,0,c7,Married,Graduate,INDIA,a9,a9,aa,RETIRED COD CHEOKI,,Graduate,N,HINDI,600000,N,Retired,Single
2558,No,17/2/21,2dbdc69ca6,76b9151a3e,d96a8f,58,21973.52,177557,15,a47a415d4e,N,331f,b629fd,7e495a,6e8a5fadc7,b629,0,1,edce,2ed4,Series 3,9715484,d4cd,bda6d4,66c3,100000,N,0,0,a7d8,1,1b,Married,Graduate,INDIA,a9,a9,9c,VRS EMPLOYEE,,Graduate,N,TELGU,420000,N,Retired,Yearly
2559,No,17/2/21,995299a5ba,8ff74fad4e,ce62bd,58,50000,289559,20,ca6fa68437,N,331f,f114ce,7e495a,e212e6d31d,eca2,0,1,edce,c4e8,Series 2,5956396,d4cd,17edbd,c4e8,500000,N,0,0,efc5,1,1b,Married,PG / Professional,INDIA,a9,a9,9c,MEDICAL PRACTICE DOCTOR,,Medicine,N,HINDI,480000,N,Profession,Yearly
2560,No,4/2/21,18aa1df3bf,ac4b4a484e,359d85,58,150000,125584,20,6744b5d7f2,N,e62e,b629fd,09cc5b,7eff6dc608,b629,0,0,a48c,c4e8,Plan Gold Cover - Series 3,5119916,d4cd,7b4d3f,c4e8,1500000,N,0,0,2a44,0,1f,Married,PG / Professional,INDIA,a9,a9,aa,SIRYA PRAGATI INFRASTRUCTURE,,Post Graduate,N,ENGLISH,1200000,N,Business,Yearly
2561,No,6/2/21,bcf33123c6,5dc2c32cdc,debb51,2483,14493.94,801815,10,3e3f70d08d,N,e62e,acb844,e778dd,2f2a81b72f,c586,0,1,edce,2ed4,Series 2,9950448,d4cd,84a991,5743,1050000,N,0,0,81db,0,1f,Married,Intermediate (10+2),INDIA,,a9,aa,SECURITY GUARD,,HSC,N,HINDI,372000,N,Service,Yearly
2562,No,11/2/21,7b5c145014,6b23cf860f,bec08b,58,6167.72,227384,28,365d8af0f2,N,331f,f114ce,7e495a,44978bdc1f,eca2,0,1,edce,2ed4,Series 2,5006689,d4cd,c055e1,5743,800000,N,0,0,81db,0,1f,Married,Graduate,INDIA,a9,a9,aa,CONSTABLE,,Graduate,N,ENGLISH,420000,N,Service,Yearly
2563,No,5/2/21,6985697069,9c19d64ea8,b94056,58,50000,729799,12,24569031c0,N,e62e,b78361,fa91ab,6195eef9b6,f7b0,0,0,,c4e8,Series 2,5016599,d4cd,189fac,c4e8,500000,N,0,0,efc5,0,1f,Married,Graduate,INDIA,a9,a9,aa,AGRICULTURIST,,Graduate,N,HINDI,600000,N,Agriculturist,Yearly
2564,No,23/2/21,caea51e6db,c3c290e18a,debb51,58,106480.6,801111,15,2fe317c8bf,N,331f,acb844,7e495a,d5350c0e9e,c586,0,1,edce,803,Series 3,9292116,d4cd,84a991,803,750000,Y,0,0,5876,0,c7,Married,Intermediate (10+2),INDIA,a9,a9,9c,TAILORING,,HSC,N,ENGLISH,4200000,N,Self-Employed,Yearly
2565,No,13/2/21,90fe940da6,bca7dfd71d,49053,2483,11936.97,689297,13,9ec07bfb4f,N,e62e,a82c2d,181d00,95a6523a3b,f7b0,0,1,edce,2ed4,Series 3,5105446,d4cd,3103b7,66c3,110000,N,0,0,f6f8,0,3d,Married,Graduate,INDIA,a9,a9,aa,SANIK,,Graduate,N,HINDI,480000,N,Army,Yearly
2566,No,3/2/21,d12f8c3b7a,a97a038364,3fc0a0,58,5000,287559,10,0c48f981cc,N,331f,f114ce,7e495a,a8dec5b325,eca2,0,0,a48c,2ed4,Series 2,9960556,d4cd,cf13ac,5743,80000,N,0,0,b68b,0,12,Single,School (upto 10th),INDIA,a9,a9,aa,,,Below SSC,N,HINDI,132000,N,Service,Yearly
2567,No,16/2/21,3aa9c6c37a,99c3ea0c18,36e453,58,100000,274559,10,803138c746,N,331f,f114ce,7e495a,7e047ec3d6,eca2,0,1,edce,c4e8,Series 2,9786213,d4cd,4a7b64,c4e8,0,N,0,0,2734,0,1f,Married,School (upto 10th),INDIA,a9,a9,aa,RETIRED,,Below SSC,N,HINDI,400000,N,Retired,Yearly
2568,No,3/2/21,c908983f5b,08625617d6,abab0e,58,30000,862992,12,3357857dbd,N,e62e,aedf2f,c39e06,724d240c73,c586,0,0,a48c,c4e8,Series 2,5618486,d4cd,2a5e2e,c4e8,300000,N,0,0,efc5,0,fc,Married,PG / Professional,INDIA,a9,a9,9c,TEACHER,,Post Graduate,N,ENGLISH,180000,N,Service,Yearly
2569,No,2/2/21,150ccfe7fc,eca88db760,d96a8f,58,50000,177494,12,a7ed104ada,N,e62e,b629fd,582db0,5ce5f1a09e,b629,0,1,a48c,c4e8,Series 2,5036164,d4cd,bda6d4,c4e8,500000,N,0,0,efc5,0,12,Single,Graduate,INDIA,a9,a9,aa,INTERNET CENTRE,,Graduate,N,TELGU,600000,N,Business,Yearly
2570,No,3/2/21,7ff47a6ff1,2799ad296b,58ee39,2483,30000,276529,12,9830826f4a,N,e62e,f114ce,a55726,5fff6b6913,eca2,0,1,a48c,c4e8,Series 2,9918194,d4cd,9dc9f7,c4e8,,N,0,0,efc5,0,1f,Married,Graduate,INDIA,a9,a9,aa,TRACKMAN,,Graduate,N,HINDI,384000,N,Service,Yearly
2571,No,2/2/21,01bcc91210,7a3e58e4b5,6c362e,58,50000,750471,12,c3105f1ba3,N,331f,b78361,7e495a,e59a655766,f7b0,0,0,a48c,c4e8,Series 2,9991447,d4cd,e78385,c4e8,500000,N,0,0,efc5,0,fc,Married,Intermediate (10+2),INDIA,a9,a9,9c,HOUSEWIFE,,HSC,N,HINDI,300000,N,Housewife,Yearly
2572,No,3/2/21,8b6a39f772,efc370bfe9,3fe210,58,13593.6,292559,28,9f0d83ead4,N,331f,f114ce,7e495a,63678d34eb,eca2,0,1,edce,2ed4,Level Term Assurance - Series 6,5470399,d4cd,e0ae66,5743,5000000,N,0,0,8fe6,1,1f,Married,,INDIA,a9,,aa,PROPRITER,,Post Graduate/Professional,N,HINDI,600000,N,Business,Yearly
2573,No,1/2/21,6cfd2b7915,aeb2310974,d96a8f,2483,14842.4,177442,15,f4015b1133,N,331f,b629fd,7e495a,431776f360,b629,0,0,a48c,2ed4,Endowment Plan - Series 4,9941275,d4cd,7fe8ea,803,195000,N,0,0,1bb6,0,1f,Married,School (upto 10th),INDIA,a9,a9,aa,OWNER,,SSC,N,TELGU,300000,N,Business,Yearly
2574,No,3/2/21,8520866ff1,e44cdf9a0d,e351bc,58,60000,715558,11,78a55f3538,N,e62e,b78361,3d4868,86016f1e3d,f7b0,0,1,a48c,c4e8,Series 3,5064694,d4cd,189fac,c4e8,600000,N,0,0,d2a9,0,c7,widowed,PG / Professional,INDIA,a9,a9,9c,ASSISTANT TEACHER GOVT SECTOR,,Post Graduate,N,HINDI,480000,N,Service,Yearly
2575,No,9/2/21,78e935e199,be81d0a7ba,31aeb0,58,38077.9,204279,10,dda78fd184,N,e62e,766048,ce2ebc,fe6ac8791e,047e,0,1,a48c,2ed4,Series 2,5386547,d4cd,54ccbf,5743,800000,N,0,0,81db,,1f,Married,Graduate,INDIA,a9,a9,aa,OFFICER,,Graduate,N,GUJARATI,420000,N,Service,Yearly
2576,No,1/3/21,c56fc040bc,1c0744b825,948518,7.00E+49,700000,125581,10,81e404307b,N,286,b629fd,bd6877,4c9d9cf8e6,b629,0,1,edce,c4e8,Series 2,5,d4cd,7aa19c,c4e8,7000000,Y,0,0,8625,0,7e,,Uneducated,INDIA,a9,5c,aa,,,(None),N,ENGLISH,0,N,,Yearly
2577,No,18/2/21,68ae07dd8a,c553aeb69f,0ff3a2,58,50000,247559,15,4f496a4ddd,N,331f,766048,7e495a,d480cd8538,047e,0,1,edce,c4e8,Series 2,5145407,d4cd,a2b871,c4e8,0,N,0,0,2734,0,46,Married,Graduate,INDIA,a9,a9,aa,MANAGER,,Graduate,N,GUJARATI,480000,N,Service,Yearly
2578,No,5/2/21,5633361da2,aff51fa5cc,4f1857,2483,,738150,12,8f9410e703,N,e62e,b78361,b3871a,ab5d19037e,f7b0,0,1,a48c,c4e8,Series 2,5008575,d4cd,aebe24,c4e8,500000,N,0,0,efc5,0,1f,Married,Graduate,INDIA,a9,a9,aa,CLERICAL ASSISTANT,,Graduate,N,HINDI,456000,N,Service,Yearly
2579,No,9/2/21,34f9781330,f8fbc85857,193508,58,12576.24,222158,10,1d4271ee0d,,e62e,f114ce,150cda,6571a91693,eca2,0,1,edce,2ed4,Series 2,5063033,d4cd,c055e1,5743,340000,N,,0,81db,0,1f,Married,Graduate,INDIA,a9,a9,aa,CLERK AT ADMIN DEPARTMENT,,Graduate,N,ENGLISH,480000,N,Service,Yearly
2580,No,11/2/21,3eb773965b,0e85387ede,7412b2,58,30000,227297,12,9e533245ba,N,e62e,f114ce,8552f9,cb1f4a4bcf,eca2,0,1,edce,c4e8,Series 2,5628606,d4cd,f7f79e,c4e8,300000,N,0,0,efc5,0,1b,Married,Graduate,INDIA,a9,a9,9c,AGRICULTURIST,,Graduate,N,HINDI,360000,N,Agriculturist,Yearly
2581,No,6/2/21,19a4d3f9df,d502eb529d,2f8b93,58,181668.75,855356,59,86af292e47,N,45c9,c0a4a4,7e495a,cd76cfe44e,0ff1,0,0,edce,aaac,Series 15,5,738a,179a3a,aaac,0,N,0,0,f92e,0,1b,Married,Uneducated,INDIA,a9,a9,9c,,,(None),N,ENGLISH,0,N,,Single
2582,No,9/2/21,6e5d370a41,064d1e931b,debb51,2483,19568.92,801991,10,98a245109c,N,e62e,acb844,265da3,d0c24f9788,c586,0,1,edce,2ed4,Series 2,9583012,d4cd,2df4bf,5743,530000,N,0,0,81db,0,1f,Married,Graduate,INDIA,a9,a9,aa,HEAD CONSTABLE,,Graduate,N,HINDI,300000,N,Service,Yearly
2583,Yes,11/2/21,6f8d47e1e9,545f891ff9,eb31d7,58,50000,782554,12,d39e9aa8d8,N,e62e,b78361,63aea0,be168ad92e,f7b0,0,1,edce,c4e8,Series 2,5345199,d4cd,ecb8c7,c4e8,500000,N,0,0,efc5,0,1b,Married,Graduate,INDIA,a9,a9,9c,HOUSEWIFE,,Graduate,N,ASSAMESE,420000,N,Housewife,Yearly
2584,No,8/3/21,cbdbb284ee,87dc8d319b,184985,58,34407.12,265559,10,23e4835f50,N,e62e,766048,c4276d,01464edc62,047e,0,1,5fd3,2ed4,Series 2,5662658,d4cd,00d602,5743,500000,N,0,0,81db,1,1f,Married,Intermediate (10+2),INDIA,a9,a9,aa,CLEANER,,HSC,N,ENGLISH,480000,N,Service,Yearly
2585,No,23/2/21,4a295d13c0,b44407b70c,ce62bd,58,100000,289573,12,a2d87653ec,N,e62e,f114ce,9ba5d9,1c07f3ec93,eca2,0,1,a48c,c4e8,Series 2,9742376,d4cd,9709ef,c4e8,1000000,N,0,0,efc5,0,1f,Married,Graduate,INDIA,a9,a9,aa,SELF-EMPLOYED,,Graduate,N,HINDI,600000,N,Self-Employed,Yearly
2586,No,5/2/21,1169c35863,396ab98f64,701784,58,539658.94,756599,60,c8076b11a2,N,45c9,b78361,7e495a,cd76cfe44e,f7b0,0,0,a48c,aaac,Series 15,5,738a,82a624,aaac,0,Y,0,0,f92e,0,3d,Married,Uneducated,INDIA,a9,a9,aa,,,(None),N,ENGLISH,0,N,,Single
2587,No,3/2/21,094e999606,2a78953cff,701784,58,30107.3,756559,15,50a0d5740e,N,e62e,b78361,223310,7167d1c118,f7b0,0,0,a48c,803,Series 3,5336167,d4cd,8a5830,803,220000,N,0,0,5876,0,1f,Married,School (upto 10th),INDIA,a9,a9,aa,AGRICULTURIST,,SSC,N,HINDI,360000,N,Agriculturist,Yearly
2588,No,4/2/21,afa9cae53c,dedff9c2d2,29d6d1,2483,20193.6,732911,18,60bdbf0d6d,N,331f,b78361,7e495a,6495fe32ed,f7b0,0,1,edce,2ed4,Series 3,5240089,bf55,7a755c,66c3,300000,N,0,0,f6f8,0,c7,Married,Graduate,INDIA,a9,a9,aa,AGRICULTURIST,,Graduate,N,HINDI,250000,N,Agriculturist,Half yearly
2589,No,3/2/21,f784f13e26,80d33ecef3,3.85E+07,2483,99000,809666,12,45c3c28882,N,e62e,acb844,d461a8,a2307712f1,c586,0,0,a48c,c4e8,Series 2,5379364,d4cd,315d9d,c4e8,990000,N,0,0,efc5,0,,Married,Intermediate (10+2),INDIA,a9,a9,aa,OWNER,,HSC,N,HINDI,360000,N,Business,Yearly
2590,No,22/1/21,1eb95f30ff,7b0164330c,740910,2483,40000,804953,10,bd2dc17f2c,N,331f,acb844,7e495a,1944818d13,c586,0,1,a48c,c4e8,Series 2,5723709,d4cd,2df4bf,c4e8,0,N,,0,2734,0,3d,Married,Intermediate (10+2),INDIA,a9,a9,aa,AGRICULTURIST,,HSC,N,HINDI,300000,N,Agriculturist,Yearly
2591,No,22/1/21,8987a3a636,3e621ddef9,d96a8f,58,60000,177553,10,9956e10caa,,331f,b629fd,7e495a,719c32191c,b629,0,1,edce,c4e8,Plan T - Series 2,5366087,37bf,bda6d4,c4e8,600000,N,0,0,becc,0,1f,Married,Graduate,INDIA,a9,a9,aa,OWNER,,Graduate,N,TELGU,480000,N,Business,Monthly
2592,No,15/2/21,3086ce4758,72bb53ee5a,,58,150000,129994,12,313eb144a9,N,e62e,b629fd,bc3a8c,94dbd71fdd,b629,0,1,edce,c4e8,Plan Gold Cover - Series 3,9998961,d4cd,7b4d3f,c4e8,1500000,Y,0,0,2a44,0,1f,Married,Graduate,NRI,a9,a9,aa,SUPERINDENT  SULB BAHRAIN,,Graduate,N,TELGU,4800000,N,Service,Yearly
2593,,8/2/21,bf06d78a28,12d38f906e,7ac09e,58,75000,754559,15,890469f134,N,331f,b78361,7e495a,f5f24f0cc8,f7b0,0,1,edce,c4e8,Series 2,5788773,d4cd,2dff6a,,750000,Y,0,0,efc5,0,,Married,,INDIA,a9,c7,9c,TEACHER,,Post Graduate/Professional,N,HINDI,1140000,N,Service,Yearly
2594,No,11/2/21,e7e650d88d,eb3eca996c,aa240e,58,200000,299577,10,1538a95818,N,e62e,f114ce,f025c9,6c872076ef,eca2,0,1,edce,c4e8,Series 2,5682594,d4cd,9dc9f7,c4e8,0,Y,0,0,2734,0,3d,widowed,,INDIA,a9,a9,9c,AGRICULTURIST,,Literate/Non-SSC,N,HINDI,1200000,N,Agriculturist,Yearly
2595,No,24/2/21,530cead245,9f97908290,75fc4a,58,30682.2,855562,24,c51698d08f,N,a3d7,c0a4a4,7e495a,1ace0f1ae4,0ff1,0,1,5fd3,2ed4,Level Cover - Series 4,5,37bf,c5f8bb,5743,5000000,N,0,0,3.20E+07,1,1f,Married,Graduate,INDIA,a9,a9,aa,METEOROLOGIST A,,Graduate,N,ENGLISH,1296000,N,Service,Monthly
2596,No,3/2/21,44ff035a9b,5bc9d33089,29d6d1,,100000,732594,10,9239499727,N,e62e,b78361,22d799,39e8378da9,f7b0,0,0,a48c,c4e8,Series 2,5003529,d4cd,aebe24,c4e8,0,N,0,0,2734,0,1f,Married,Graduate,INDIA,a9,a9,aa,RETIRED,,Graduate,N,HINDI,840000,N,Retired,Yearly
2597,No,4/2/21,1913e978cf,cc577442af,5e9ab8,2483,11579.82,737912,10,9983b16746,N,e62e,b78361,83f91a,6a69e78a88,f7b0,0,1,edce,2ed4,,5642865,d4cd,c9c5ae,5743,500000,N,0,0,81db,0,1f,Married,School (upto 10th),INDIA,a9,a9,aa,PEON,,SSC,N,HINDI,348000,N,Service,Yearly
2598,No,3/2/21,72489bccc5,6f871864b2,618060,58,30000,815229,12,e7ef2c4835,N,e62e,aedf2f,286a07,8cacb3ef13,c586,0,1,a48c,c4e8,Series 2,5373233,d4cd,5d949d,c4e8,300000,N,0,0,efc5,0,1f,Married,Graduate,INDIA,a9,a9,aa,TEACHER,,Graduate,N,HINDI,516000,N,Service,Yearly
2599,No,3/2/21,8d71cfebbb,14ada5344c,da9107,58,50000,774571,15,dbe529f86a,N,331f,b78361,7e495a,9fa01c7f57,f7b0,0,0,a48c,c4e8,Series 2,5623345,d4cd,9a9c42,c4e8,500000,N,0,0,efc5,0,1f,Married,PG / Professional,INDIA,a9,a9,aa,GOV TEACHER,,Post Graduate,N,HINDI,600000,N,Service,Yearly
2600,,2/2/21,40b1b8a3da,53c5f6793b,dd189d,2483,12415.7,178288,15,55892c4bce,N,f3e3,b629fd,f42b8a,62f97da57e,b629,0,0,a48c,2ed4,Whole Life Plan - Series 4,5,d4cd,a4bbee,ef0c,150000,N,0,0,1bb6,0,12,Single,Graduate,INDIA,a9,a9,9c,ASSISTANT HR,,Graduate,N,TELGU,270000,N,Service,Yearly
2601,No,2/2/21,85ab6ba801,ddcea09309,9fc4f9,2483,50000,808441,15,8933cd1893,N,331f,acb844,7e495a,1110288b67,c586,0,0,a48c,c4e8,Series 2,5181789,d4cd,783006,c4e8,500000,N,0,0,efc5,0,1f,Married,Intermediate (10+2),INDIA,a9,a9,aa,TECHER,,HSC,N,HINDI,420000,N,Service,Yearly
2602,No,2/2/21,b538831fed,d77443d691,88cae7,2483,19276.18,808776,10,2aa7d8bc81,N,e62e,acb844,3ecae0,721292af0a,c586,0,0,a48c,2ed4,Series 2,5649513,d4cd,4a3ec2,5743,600000,N,0,0,81db,0,1f,Married,Graduate,INDIA,a9,a9,aa,ASST 2,,Graduate,N,HINDI,360000,N,Service,Yearly
2603,No,8/2/21,9b2db8a392,77186e82b9,701784,58,30000,756592,12,b162c0b9d4,N,f3e3,b78361,afb679,6b21c88621,f7b0,0,1,,c4e8,Series 2,5,d4cd,8a5830,c4e8,300000,N,0,0,efc5,0,46,Married,Graduate,INDIA,a9,a9,9c,BANKING,,Graduate,N,HINDI,400000,N,Service,Yearly
2604,No,3/2/21,11261d1538,714246df0d,ad588e,2483,51125,228652,15,3435c0b3fd,N,e62e,f114ce,f7a313,211cf00cb7,,0,0,a48c,2ed4,Series 3,9789451,d4cd,f7f79e,803,420000,N,0,0,56ca,0,1b,Married,Graduate,INDIA,a9,a9,9c,HOUSEWIFE,,Graduate,N,ENGLISH,300000,N,Housewife,Yearly
2605,No,11/2/21,6f620d142a,7e01de26a4,86c8be,58,70000,175592,12,e06730f176,N,e62e,b629fd,0c2c2e,d233fc7d22,b629,0,1,edce,c4e8,Series 2,9733126,d4cd,2864ab,c4e8,700000,N,0,0,efc5,0,1f,Married,Intermediate (10+2),INDIA,a9,a9,,PH WORKER,,HSC,N,TELGU,1200000,N,Service,Yearly
